document_id,valid_json,precision,recall,f1
14510914,True,0.37037037037037035,0.2702702702702703,0.3125
15096016,True,0.6,0.42857142857142855,0.5
16152606,True,0.3333333333333333,0.25,0.28571428571428575
1671881,True,0.5,0.6,0.5454545454545454
16867246,True,0.5121951219512195,0.5526315789473685,0.5316455696202531
17549393,True,0.8095238095238095,0.6538461538461539,0.7234042553191489
17962394,True,0.4166666666666667,0.5555555555555556,0.4761904761904762
18046082,True,0.7407407407407407,0.5128205128205128,0.6060606060606061
21054465,True,0.3157894736842105,0.4444444444444444,0.36923076923076925
22711886,True,0.6060606060606061,0.8888888888888888,0.7207207207207208
24036311,True,0.6071428571428571,0.5666666666666667,0.5862068965517241
25080425,True,0.8275862068965517,0.7741935483870968,0.7999999999999999
27509880,True,0.813953488372093,0.7,0.7526881720430109
6086495,True,0.2222222222222222,0.4,0.2857142857142857
7811247,True,0.3,0.17647058823529413,0.22222222222222224
8944024,True,0.2,0.4,0.26666666666666666
16838170,True,0.7241379310344828,0.7241379310344828,0.7241379310344829
20801540,True,0.35294117647058826,0.2857142857142857,0.31578947368421056
25550469,True,0.5714285714285714,0.5217391304347826,0.5454545454545454
27090298,True,0.46153846153846156,0.5625,0.5070422535211268
27860185,False,0.0,0.0,0.0
15867855,True,0.5483870967741935,0.6538461538461539,0.5964912280701755
26684240,True,0.5396825396825397,0.6071428571428571,0.5714285714285714
27707793,True,0.3793103448275862,0.55,0.4489795918367347
21799811,False,0.0,0.0,0.0
15951966,True,0.6875,0.6470588235294118,0.6666666666666667
17968299,True,0.631578947368421,0.5714285714285714,0.6
20126413,True,0.8181818181818182,0.9,0.8571428571428572
27866394,True,0.7105263157894737,0.7105263157894737,0.7105263157894737
19624920,True,0.5,0.6666666666666666,0.5714285714285715
29049388,True,0.7692307692307693,0.8108108108108109,0.7894736842105263
17345627,True,0.7619047619047619,0.4444444444444444,0.5614035087719298
20540798,True,0.3088235294117647,0.7241379310344828,0.43298969072164945
28393239,True,0.6666666666666666,0.6829268292682927,0.674698795180723
16018252,True,0.7142857142857143,0.6818181818181818,0.6976744186046512
16419642,True,0.7741935483870968,0.7741935483870968,0.7741935483870968
17943461,True,0.5,0.4634146341463415,0.48101265822784817
21042587,True,0.8,0.43478260869565216,0.5633802816901409
16051693,True,0.6923076923076923,0.6206896551724138,0.6545454545454545
19880293,True,0.9545454545454546,0.42857142857142855,0.5915492957746478
21903317,True,0.5757575757575758,0.4222222222222222,0.4871794871794872
27103577,True,0.38235294117647056,0.7428571428571429,0.5048543689320388
27491646,True,0.2807017543859649,0.32,0.29906542056074764
16611040,True,0.5,0.6,0.5454545454545454
17033974,True,0.9333333333333333,0.7368421052631579,0.8235294117647058
24014394,True,0.46875,0.4411764705882353,0.45454545454545453
15018851,True,0.6818181818181818,0.5,0.576923076923077
17671735,False,0.0,0.0,0.0
28518143,True,0.5588235294117647,0.4318181818181818,0.48717948717948717
17600377,True,0.6388888888888888,0.7419354838709677,0.6865671641791045
16181814,True,0.8148148148148148,0.7586206896551724,0.7857142857142857
20143913,True,0.5714285714285714,0.6153846153846154,0.5925925925925927
15579441,True,0.20833333333333334,0.2,0.20408163265306126
15754732,True,0.6,0.5833333333333334,0.591549295774648
18385794,True,0.8214285714285714,0.4791666666666667,0.6052631578947368
